CD80	35.74274919923662
STAT4	279.1236218760455
BLK	92.10340371976183
HLA-DQA1	62.68062313460523
HLA-DQB1	19.33697147582652
MTCO3P1	213.04180135977813
TNXB	267.6106964110753
MSH5-SAPCD1	119.04127765513043
MSH5	119.04127765513043
AL662899.4	16.34123920227253
CSNK2B	16.34123920227253
TNFAIP3	65.16552978439323
WDFY4	25.685110966873236
AC009971.1	11.618285980628055
RPL7P13	11.618285980628055
COX10-AS1	11.736069016284437
ITGAM	193.52250832715765
AC131956.3	11.736069016284437
AC131956.1	11.736069016284437
AC025594.2	251.0871356520088
TNPO3	251.0871356520088
SLC1A7	12.429216196844383
AL606760.4	12.429216196844383
AC117465.1	12.429216196844383
LINC00578	12.429216196844383
TMC2	11.736069016284437
AF131216.5	92.10340371976183
LAMC2	14.326336181730264
UBE2L3	49.96372486530906
RNA5SP73	11.86960040890896
LINC01701	11.86960040890896
AC009478.1	13.122363377404328
OR4A15	11.86960040890896
RCC2P8	13.815510557964274
COL25A1	13.815510557964274
MIR3142HG	62.39294106215344
PHRF1	21.927238641272346
HLA-DQB2	49.558259757200894
AC107032.2	12.206072645530174
TSBP1-AS1	12.716898269296165
NAALADL2-AS2	11.736069016284437
NAALADL2	11.736069016284437
AFF1	18.643824295266576
LEF1	13.122363377404328
TNFSF4	72.58411068714135
AL645568.3	72.58411068714135
TNIP1	103.61632918473205
AC020743.2	51.860844850194944
AC020743.3	51.860844850194944
LINC02098	56.8714801442912
ETS1	56.8714801442912
AC093249.5	15.01948336229021
HLA-DRB1	58.480918056725294
AC025594.1	110.52408446371419
IRF5	227.95592420641051
RASGRP3	34.538776394910684
ATG5	33.1524820337908
LRRC18	25.685110966873236
AC060234.3	25.685110966873236
AP002954.1	36.841361487904734
SLC15A4	29.933606208922594
AC093249.1	17.322068455284256
PRR14	17.322068455284256
HIP1	27.631021115928547
ELF1	18.420680743952367
PXK	18.7773556878911
AC018639.1	42.36282240576698
AC011005.2	42.36282240576698
AC108099.1	12.429216196844383
GHR	12.429216196844383
NEGR1	11.86960040890896
NEGR1-IT1	11.86960040890896
ITGAX	24.229823734266393
AC091691.3	12.02375108873622
NTNG2	12.716898269296165
BANK1	39.14394658089878
AL662789.1	213.04180135977813
AL139100.2	11.86960040890896
SNRPC	11.86960040890896
CD83P1	18.643824295266576
RNU6-471P	18.643824295266576
FCGR2A	31.543044121356694
LAMC1	12.206072645530174
AL713852.1	29.240459028362647
EDEM3	29.240459028362647
TEX51	12.429216196844383
RNU7-182P	12.429216196844383
RNU6-546P	13.122363377404328
AC073225.1	13.122363377404328
CNTN6	16.11809565095832
RPL23AP38	16.11809565095832
C2	46.27484541119512
AC011228.3	13.122363377404328
AC011228.2	13.122363377404328
MTG1	12.716898269296165
AL360181.3	12.716898269296165
AL359999.1	15.424948470398375
APIP	15.424948470398375
FAM98B	32.23619130191664
RN7SKP181	18.420680743952367
LINC02253	18.420680743952367
MED1	14.172185501903007
CDK12	14.172185501903007
AL133396.1	13.122363377404328
RASSF2	13.122363377404328
KRT18P4	25.328436022934504
RNU6-147P	25.328436022934504
DGUOK-AS1	37.19803643184346
ARID5B	23.7189981105004
CREBL2	17.72753356339242
AC008115.2	37.75765221977888
GPR19	37.75765221977888
CDKN1B	26.021583203494448
DRAM1	25.43379653859233
APOBEC4	12.02375108873622
RGL1	12.02375108873622
SCN10A	11.86960040890896
AL132996.1	11.618285980628055
SLC29A3	12.716898269296165
SEZ6L2	11.86960040890896
ABHD8	13.815510557964274
PDHX	52.95945713886305
AL356215.1	52.95945713886305
UHRF1BP1	27.631021115928547
CLEC16A	37.19803643184346
AL356234.2	29.240459028362647
ARHGAP4	14.038654109278484
IFIH1	26.021583203494448
JAZF1	24.635288842374557
AL591846.1	19.11382792451231
IL10	29.240459028362647
SMG7	201.5288758948079
NCF2	201.5288758948079
AC092723.5	40.753384493332874
AC092723.4	24.635288842374557
ARMC3	15.424948470398375
IL12RB2	20.030118656386467
LYST	20.72326583694641
CENPU	14.038654109278484
TAOK3	14.038654109278484
SPPL3	14.038654109278484
CYCS	13.122363377404328
SPATA48	13.122363377404328
KLF12	13.122363377404328
AC096570.1	12.716898269296165
AC107079.1	12.716898269296165
AC112715.1	12.716898269296165
AP004609.4	12.716898269296165
AC087863.2	12.206072645530174
SRRM4	12.206072645530174
TENT4A	12.206072645530174
CD86	12.02375108873622
AC068630.1	12.02375108873622
TMEM132C	11.86960040890896
C10orf67	11.86960040890896
C9	11.736069016284437
DAB2	11.736069016284437
HLA-DRA	137.4619583990828
PTPN22	64.47238260383328
AL137856.1	64.47238260383328
ST13P13	18.420680743952367
RPEL1	18.420680743952367
CERCAM	13.122363377404328
CDK18	13.122363377404328
RNU2-19P	13.122363377404328
IRAK1	30.156749760236803
KDM4C	11.736069016284437
LINC01088	13.815510557964274
HSD3BP5	11.86960040890896
ZNF697	11.86960040890896
LINC02520	12.206072645530174
AL353597.2	12.206072645530174
AL078600.1	11.86960040890896
MIR3144	11.86960040890896
AC022784.1	11.86960040890896
AC034111.2	14.73180128983843
LINC00208	11.86960040890896
AC022239.2	11.86960040890896
AL162411.1	11.86960040890896
AL159996.1	12.716898269296165
GAS1	12.716898269296165
PCNX3	11.86960040890896
SIPA1	11.86960040890896
PRPS2	12.716898269296165
RABGAP1L	16.811242831518264
SLC12A1	16.11809565095832
SLC22A11	14.172185501903007
SLC22A12	14.172185501903007
FAM171A1	12.716898269296165
ITGA8	12.716898269296165
PGPEP1	12.206072645530174
GDF15	12.206072645530174
AP001122.1	23.025850929940457
